title,year,genre,users_rating,votes,languages,directors,runtime
Joshua Oh Joshua,2001,Comedy,6.4,110,Indonesian,Edward Sirait,90 min
Marsinah,2001,Drama,7.5,21,Indonesian,Slamet Rahardjo,
Pasir Berbisik,2001,Drama,7.2,189,Indonesian,Nan Triveni Achnas,106 min
The Uninvited,2001,Horror,6.6,326,Indonesian,Rizal Mantovani,102 min
Tragedi,2001,Action,4.1,7,Indonesian,Rudy Soedjarwo,120 min
Viva Indonesia,2001,,7.2,8,Indonesian,Ravi L. Bharwani,90 min
Petualangan Sherina,2000,Adventure,7.8,640,Indonesian,Riri Riza,112 min
Reinkarnasi,2000,Action,6.3,6,Indonesian,Dede Yusuf,
Telegram,2000,Drama,6.1,45,Indonesian,Slamet Rahardjo,82 min
Kuldesak,1999,Action,6.8,105,Indonesian,Nan Triveni Achnas,
Fatahillah,1998,Action,7.3,12,Indonesian,Imam Tantowi,
Leaf on a Pillow,1998,Crime,7.6,226,Indonesian,Garin Nugroho,
Tropic of Emerald,1997,War,6.9,116,Japanese,Orlow Seunke,
Bergairah di Puncak,1996,Drama,4.6,17,Indonesian,,
Bisikan Nafsu,1996,Horror,6.6,15,Indonesian,Steady Rimba,51 min
Cinta dan Nafsu,1996,Drama,5.7,10,Indonesian,Emil G. Hampp,
Hukuman Zinah,1996,Horror,6.8,17,Indonesian,Emil G. Hampp,60 min
Lampiasan nafsu,1996,Drama,7,5,Indonesian,Emil G. Hampp,78 min
Selingkuh,1996,Drama,6.4,7,Indonesian,Emil G. Hampp,71 min
Bulan Tertusuk Ilalang,1995,Drama,7.4,42,Indonesian,Garin Nugroho,125 min
Gairah Malam 2,1995,Drama,5.8,13,Indonesian,Steady Rimba,73 min
Permainan Binal,1995,Drama,8,11,Indonesian,Yonky Souhoka,100 min
Ruby Fruit,1995,Fantasy,6.3,6,Indonesian,Takumi Kimizuka,95 min
Without Mercy,1995,Action,5.1,88,English,Robert Chappell,90 min
Catatan Harian Tante Sonya,1994,Drama,5.4,5,Indonesian,Abrar Siregar,
Dewi Angin Angin,1994,Fantasy,4.8,13,Indonesian,Ackyl Anwari,
Gaun Merah,1994,Horror,6.2,6,Indonesian,H. Tjut Djalil,84 min
Godaan Cinta,1994,Drama,6.6,5,Indonesian,Atok Suharto,60 min
Kenikmatan Tabu,1994,Drama,2.4,5,Indonesian,Ackyl Anwari,
Pencet Sana Pencet Sini,1994,Comedy,6.5,25,Indonesian,Arizal,83 min
Ranjang yang Ternoda,1994,Drama,5.6,14,Indonesian,Norman Benny,
Saya Duluan Dong,1994,,5.9,18,Indonesian,Arizal,83 min
Setetes Noda Manis,1994,Drama,7.5,8,Indonesian,Maman Firmansyah,
Si Kabayan Mencari Jodoh,1994,Comedy,4.7,6,Indonesian,Maman Firmansyah,85 min
Surat Untuk Bidadari,1994,Drama,6.8,40,Indonesian,Garin Nugroho,118 min
Wanita Dalam Gairah,1994,Crime,6.6,10,Indonesian,H. Tjut Djalil,68 min
Badut-Badut Kota,1993,Comedy,7.9,7,Indonesian,Ucik Supra,
Gairah Malam,1993,Drama,5.1,14,Indonesian,,60 min
Mumpung Ada Kesempatan,1993,,5,5,Indonesian,Arizal,85 min
Oeroeg,1993,Drama,6.7,372,Dutch,Hans Hylkema,
Rage and Honor II,1993,Action,5.4,397,English,Guy Norris,98 min
Susuk Nyi Roro Kidul,1993,Fantasy,5,8,Indonesian,Azwar An,
Angel of Fury,1992,Action,4.2,253,Indonesian,Ackyl Anwari,
Bibir Mer,1992,Comedy,7.2,9,Indonesian,Arifin C. Noer,
Cinta Dalam Sepotong Roti,1992,Drama,6.7,43,Indonesian,Garin Nugroho,
Kembalinya Si Janda Kembang,1992,Horror,5.6,7,Indonesian,Sisworo Gautama Putra,92 min
Lady Dragon,1992,Action,5.2,470,English,David Worth,97 min
Masuk Kena Keluar Kena,1992,Comedy,6.8,35,Indonesian,Arizal,88 min
Olga dan Sepatu Roda,1992,Comedy,7.1,9,Indonesian,Achiel Nasrun,90 min
Salah Masuk,1992,Comedy,6.7,24,Indonesian,Arizal,88 min
Skandal Iblis,1992,Horror,6.6,9,Indonesian,H. Tjut Djalil,86 min
Ajian Ratu Laut Kidul,1991,Drama,6.2,15,Indonesian,Sisworo Gautama Putra,
Bisa Naik Bisa Turun,1991,Comedy,7.3,27,Indonesian,Arizal,
Catatan Si Boy 5,1991,Drama,6.2,13,Indonesian,Nasri Cheppy,88 min
Double Crosser,1991,Action,6.8,31,Indonesian,Arizal,85 min
Gadis Metropolis,1991,Drama,7.6,9,Indonesian,Bobby Sandy,
Makhluk dari Kubur,1991,Horror,5.8,10,Indonesian,S.A. Karim,72 min
Misteri Janda Kembang,1991,Horror,4.9,9,Indonesian,H. Tjut Djalil,86 min
Nada dan Dakwah,1991,Drama,5,7,Indonesian,Chaerul Umam,
Perjanjian di Malam Keramat,1991,Horror,5.6,21,Indonesian,Sisworo Gautama Putra,82 min
Pesta,1991,Drama,6.2,8,Indonesian,Edward Sirait,86 min
Saur Sepuh 4: Titisan Darah Biru,1991,,7.7,6,Indonesian,Imam Tantowi,82 min
Si Kabayan dan Anak Jin,1991,Comedy,7.9,7,Indonesian,Henky Solaiman,
Sudah Pasti Tahan,1991,Comedy,6.7,16,Indonesian,Arizal,88 min
Taksi,1991,Drama,7.2,29,Indonesian,Arifin C. Noer,
Taksi 2,1991,Drama,5.4,9,Indonesian,Ismail Soebardjo,105 min
Antri Dong,1990,,3.8,6,Indonesian,Arizal,86 min
Blok M,1990,Drama,7.4,10,Indonesian,Edward Sirait,83 min
Catatan Si Boy 3,1990,Drama,6.2,20,Indonesian,Nasri Cheppy,
Forgotten Rules,1990,Comedy,7.3,24,Indonesian,H. Tjut Djalil,
Guntur tengah malam,1990,Horror,5.4,5,Indonesian,A. Rachman,81 min
Jaka Swara,1990,Action,7.4,7,Indonesian,Liliek Sudjio,
Langitku Rumahku,1990,Drama,7.5,31,Indonesian,Slamet Rahardjo,
Mana Bisa Tahan,1990,Comedy,6.7,19,Indonesian,Arizal,85 min
Misteri dari Gunung Merapi,1990,Action,5.6,10,Indonesian,Liliek Sudjio,
Saur Sepuh 3: Kembang Gunung Lawu,1990,,8.2,6,Indonesian,Imam Tantowi,95 min
Soerabaja '45,1990,Drama,8.7,15,Indonesian,Imam Tantowi,
Titisan Dewi Ular,1990,Comedy,5.5,13,Indonesian,Sisworo Gautama Putra,
American Hunter,1989,Action,6.5,123,Indonesian,Arizal,92 min
Istana Kecantikan,1989,Drama,5.9,9,Indonesian,Wahyu Sihombing,90 min
Joe Turun ke Desa,1989,Adventure,5.8,5,Indonesian,Chaerul Umam,94 min
Lebih Asyik Sama Kamu,1989,Comedy,4.6,8,Indonesian,Arizal,
Lupus III,1989,,6.7,7,Indonesian,Edi Siswanto,
Musnahkan Ilmu Santet,1989,Horror,3.8,6,Indonesian,Maman Firmansyah,74 min
Pacar Ketinggalan Kereta,1989,Drama,7.5,11,Indonesian,Teguh Karya,139 min
Pembalasan Ratu Pantai Selatan,1989,Action,5.6,"1,483",Indonesian,H. Tjut Djalil,
Sabar Dulu Dong...!,1989,Comedy,7.1,22,Indonesian,Ida Farida,81 min
Saur Sepuh 2: Pesanggrahan Keramat,1989,Action,7.9,8,Indonesian,Imam Tantowi,
Tarzan Raja Rimba,1989,Adventure,6,7,Indonesian,Ackyl Anwari,
Wanita Harimau,1989,Horror,4.6,12,Indonesian,Sisworo Gautama Putra,
Arini II,1988,,7.1,7,Indonesian,Wim Umboh,
Catatan Si Boy 2,1988,Drama,6.9,27,Indonesian,Nasri Cheppy,
Diamond Run,1988,Action,4.3,20,English,Robert Chappell,
Elegi Buat Nana,1988,Drama,6.3,6,Indonesian,Achiel Nasrun,97 min
Irisan-Irisan Hati,1988,Drama,6.9,8,Indonesian,Djun Saptohadi,106 min
Jakarta,1988,Action,4.7,123,English,Charles Kaufman,
Jodoh Boleh Diatur,1988,Comedy,7,19,Indonesian,Ami Priyono,
Lukisan Berlumur Darah,1988,Horror,5,5,Indonesian,Torro Margens,86 min
Perawan Rimba,1988,Action,4.4,89,Indonesian,Danu Umbara,93 min
Permainan Dibalik Tirai,1988,Adventure,4.3,9,Indonesian,Maman Firmansyah,
Santet,1988,Horror,5.1,18,Indonesian,Sisworo Gautama Putra,
Saur Sepuh: Satria Madangkara,1988,Action,7.5,26,Indonesian,Imam Tantowi,
The White Alligator,1988,Horror,6.2,27,Indonesian,H. Tjut Djalil,95 min
Tjoet Nja' Dhien,1988,Drama,7.4,150,Indonesian,Eros Djarot,
Arini,1987,Drama,8.5,12,Indonesian,Sophan Sophiaan,
Barang Terlarang,1987,Crime,4,46,Indonesian,Maman Firmansyah,87 min
Catatan Si Boy,1987,Drama,7.1,49,Indonesian,Nasri Cheppy,
Cintaku di Rumah Susun,1987,Comedy,8,23,Indonesian,Nya Abbas Akup,
Depan Bisa Belakang Bisa,1987,Comedy,6.7,30,Indonesian,H. Tjut Djalil,
Johny Indo,1987,Biography,7.6,5,Indonesian,Jimmy Atmaja,131 min
Kelabang Seribu,1987,Action,4.8,5,Indonesian,Imam Tantowi,95 min
Kerikil-Kerikil Tajam,1987,Drama,7.4,9,Indonesian,Sjuman Djaya,
Lupus,1987,,8.2,11,Indonesian,Achiel Nasrun,
Maidens Revenge,1987,Action,5.2,241,Indonesian,Ackyl Anwari,
Menumpas Teroris,1987,Action,5.4,16,Indonesian,Imam Tantowi,90 min
Nada-Nada Rindu,1987,Drama,5.6,7,Indonesian,Muchlis Raya,122 min
Naga Bonar,1987,Comedy,7.1,198,Indonesian,M.T. Risyaf,
Pernikahan Berdarah,1987,Action,4.7,6,Malay,Torro Margens,90 min
Samson and Delilah,1987,Adventure,4.5,65,Indonesian,Sisworo Gautama Putra,
Si Buta dari Gua Hantu: Neraka Perut Bumi,1987,Action,5.8,54,Indonesian,Ratno Timoer,90 min
Tujuh Manusia Harimau,1987,Horror,6.4,19,Indonesian,Imam Tantowi,90 min
Batas Impian Ranjang Setan,1986,Horror,4.2,41,Indonesian,H. Tjut Djalil,83 min
Biarkan Bulan Itu,1986,,5.8,5,Indonesian,Arifin C. Noer,
Bintang Kejora,1986,Comedy,7.9,7,Indonesian,Chaerul Umam,88 min
Final Score,1986,Action,7,160,Indonesian,Arizal,88 min
Ibunda,1986,Drama,7,20,Indonesian,Teguh Karya,
Kejarlah Daku Kau Kutangkap,1986,Comedy,7.8,51,Indonesian,Chaerul Umam,
Keluarga Markum,1986,,8,5,Indonesian,Chaerul Umam,93 min
Malam Jumat Kliwon,1986,Horror,8.2,15,Indonesian,Sisworo Gautama Putra,88 min
Opera Jakarta,1986,,7,6,Indonesian,Sjuman Djaya,181 min
Pembalasan Rambu,1986,Action,5.7,220,Indonesian,Jopi Burnama,88 min
Petualangan Cinta Nyi Blorong,1986,Fantasy,5.9,37,Indonesian,Sisworo Gautama Putra,84 min
Sama Juga Bohong,1986,Drama,7.6,25,Indonesian,Chaerul Umam,98 min
Sentuhan Rumput yang Bergoyang,1986,Comedy,8.2,5,Indonesian,Willy Wilianto,90 min
Usia Dalam Gejolak,1986,Drama,8.1,15,Indonesian,Sisworo Gautama Putra,90 min
Bangunnya Nyi Roro Kidul,1985,Horror,4.4,5,Indonesian,Sisworo Gautama Putra,100 min
Carok,1985,Action,6.8,6,Indonesian,Imam Tantowi,92 min
Darah perjaka,1985,,5.2,5,Indonesian,Ackyl Anwari,109 min
Doea Tanda Mata,1985,Drama,7.2,12,Indonesian,Teguh Karya,
Gantian Dong,1985,Comedy,6.6,34,Indonesian,Arizal,
Hell Raiders,1985,Action,6.4,22,Indonesian,Gope T. Samtani,
Jaka Sembung & Bergola Ijo,1985,Action,5.8,43,Indonesian,H. Tjut Djalil,
Kembang Kertas,1985,Drama,7.7,6,Indonesian,Slamet Rahardjo,100 min
Kesempatan Dalam Kesempitan,1985,,6.8,31,Indonesian,Arizal,92 min
Komando Samber Nyawa,1985,Action,4.7,17,Indonesian,E.G. Bakker,95 min
Merpati Tak Pernah Ingkar Janji,1985,Drama,7.2,6,Indonesian,Wim Umboh,
Putri Duyung,1985,,6.3,6,Indonesian,Atok Suharto,
Ratu Sakti Calon Arang,1985,Action,6.1,22,Indonesian,Sisworo Gautama Putra,
Secangkir Kopi Pahit,1985,Drama,6.6,20,Indonesian,Teguh Karya,
Si Buta dari Gua Hantu,1985,,5.8,12,Indonesian,Ratno Timoer,
Sunan Kalijaga & Syech Siti Jenar,1985,Action,6.6,14,Indonesian,Ackyl Anwari,
Di Luar Batas,1984,Drama,4.3,7,Indonesian,Jopi Burnama,87 min
Golok Setan,1984,Adventure,5.7,400,Indonesian,Ratno Timoer,
Itu Bisa Diatur,1984,Comedy,7.9,36,Indonesian,Arizal,88 min
Pengkhianatan G30S/PKI,1984,Drama,5.8,179,Indonesian,Arifin C. Noer,
Ponirah Terpidana,1984,Drama,6.9,8,Indonesian,Slamet Rahardjo,105 min
Raden Ajeng Kartini,1984,Drama,7.3,10,Indonesian,Sjuman Djaya,
Revenge of the Ninja,1984,Action,5.4,47,Indonesian,Ratno Timoer,
Satria Bergitar,1984,Action,6.6,14,Indonesian,Nurhadie Irawan,
Sunan Kalijaga,1984,Action,5.9,16,Indonesian,Sofyan Sharna,
Tahu Diri Dong,1984,Comedy,7.1,36,Indonesian,Arizal,89 min
Telaga Angker,1984,Horror,7.2,14,Indonesian,Sisworo Gautama Putra,99 min
Bergola Ijo,1983,Comedy,7.3,9,Indonesian,Arizal,97 min
Budak Nafsu,1983,Thriller,7.3,15,Indonesian,Sjuman Djaya,
Cinta Segi Tiga,1983,Drama,5.8,6,Indonesian,Yung Indrajaya,
Di Balik Kelambu,1983,Drama,7.7,15,Indonesian,Teguh Karya,
Escape from Hellhole,1983,Action,4.4,91,Indonesian,Maman Firmansyah,100 min
Kamp Tawanan Wanita,1983,Action,5.1,32,Indonesian,Jopi Burnama,96 min
Ken Arok - Ken Dedes,1983,,7.9,13,Indonesian,Djun Saptohadi,
Lebak Membara,1983,Action,6,12,Indonesian,Imam Tantowi,
Maju Kena Mundur Kena,1983,Comedy,7.8,65,Indonesian,Arizal,
Membakar Matahari,1983,Action,5.6,10,Indonesian,Arizal,90 min
Midah Perawan Buronan,1983,,5.3,6,Indonesian,Fritz G. Schadt,
Nyi Ageng Ratu Pemikat,1983,Fantasy,7,8,Indonesian,Sisworo Gautama Putra,83 min
Pasukan Berani Mati,1983,Action,6.2,17,Indonesian,Imam Tantowi,100 min
Perhitungan terakhir,1983,Action,7.2,5,Indonesian,Danu Umbara,92 min
Perkawinan Nyi Blorong,1983,Fantasy,5.4,10,Indonesian,Sisworo Gautama Putra,
Pokoknya Beres,1983,Comedy,7.6,40,Indonesian,Arizal,
The Warrior and the Blind Swordsman,1983,Action,5.3,48,Indonesian,Worod Suma,90 min
Aladin dan Lampu Wasiat,1982,Action,5.6,13,Indonesian,Sisworo Gautama Putra,
Bayi Ajaib,1982,Horror,6.3,26,Indonesian,Tindra Rengat,94 min
Cara Hebat Ikut Penanggulangan Masalah Sosial,1982,Comedy,7,9,Indonesian,Iksan Lahardi,90 min
Dongkrak Antik,1982,Comedy,7.8,68,Indonesian,Arizal,90 min
Ferocious Female Freedom Fighters,1982,Action,5,210,Indonesian,Jopi Burnama,74 min
"Ferocious Female Freedom Fighters, Part 2",1982,Action,6.4,16,Indonesian,Arizal,90 min
Gadis Bionik,1982,Action,6.4,7,Indonesian,Ali Shahab,
Hukum Karma,1982,,4.3,12,Indonesian,Jimmy Atmaja,87 min
Nyi Blorong,1982,Fantasy,6.5,44,Indonesian,Sisworo Gautama Putra,
Pengabdi Setan,1982,Horror,5.6,378,Indonesian,Sisworo Gautama Putra,96 min
Roro Mendut,1982,Drama,7.1,15,Indonesian,Ami Priyono,
Sangkuriang,1982,Fantasy,5.9,13,Indonesian,Sisworo Gautama Putra,
"Seputih Hatinya, Semerah Bibirnya",1982,Drama,7.7,6,Indonesian,Slamet Rahardjo,
Special Silencers,1982,Action,6,72,Indonesian,Arizal,86 min
Sundelbolong,1982,Drama,6.2,49,Indonesian,Sisworo Gautama Putra,102 min
Tangkuban Perahu,1982,,5.5,6,Indonesian,Liliek Sudjio,
Titian Serambut Dibelah Tujuh,1982,Drama,8.2,27,Indonesian,Chaerul Umam,110 min
Cewek Jagoan Beraksi Kembali,1981,Action,6.9,7,Indonesian,Danu Umbara,
Dr. Karmila,1981,Drama,6.3,6,Indonesian,Nico Pelamonia,
Dukun lintah,1981,Horror,4.4,7,Indonesian,Ackyl Anwari,97 min
Gundala Putra Petir,1981,Action,5.6,69,Indonesian,Liliek Sudjio,
Jaka Sembung,1981,Action,6.3,203,Indonesian,Sisworo Gautama Putra,92 min
Manusia Enam Juta Dollar,1981,,7.6,59,Indonesian,Ali Shahab,
Mystics in Bali,1981,Fantasy,5.7,"1,040",Indonesian,H. Tjut Djalil,
Ratu Ilmu Hitam,1981,Horror,6,226,English,Liliek Sudjio,
Serangan Fajar,1981,Drama,7.8,19,Indonesian,Arifin C. Noer,
Srigala,1981,Horror,4.6,28,Indonesian,Sisworo Gautama Putra,
Steel-Fisted Dragon,1981,Action,5.3,24,Indonesian,Iksan Lahardi,78 min
Five Deadly Angels,1980,Action,5.1,21,English,Danu Umbara,95 min
Melodi Cinta Rhoma Irama,1980,Drama,6.7,6,Indonesian,Muchlis Raya,127 min
Perempuan dalam Pasungan,1980,Drama,5.9,15,Indonesian,Ismail Soebardjo,95 min
Pintar Pintar Bodoh,1980,Comedy,7.7,42,Indonesian,Arizal,89 min
Rayuan Gombal,1980,Comedy,5.9,8,Indonesian,Arizal,88 min
Roman Picisan,1980,Drama,8.3,7,Indonesian,Adisoerya Abdi,
Savage Terror,1980,Adventure,2.9,298,Indonesian,Sisworo Gautama Putra,90 min
Senyummu Adalah Tangisku,1980,,8.2,5,Indonesian,Dasri Jacob,
Usia 18,1980,Drama,7,14,Indonesian,Teguh Karya,
Gita Cinta dari SMA,1979,Romance,8,24,Indonesian,Arizal,
Janur Kuning,1979,Drama,7.6,27,Indonesian,Alam Rengga Surawidjaja,
Kabut Sutra Ungu,1979,Drama,7.6,12,Indonesian,Sjuman Djaya,127 min
Karate Sabuk Hitam,1979,Action,6.7,24,Indonesian,Wisjnu Mouradhy,
November 1828,1979,Drama,7.2,29,Indonesian,Teguh Karya,140 min
Puspa Indah Taman Hati,1979,,7.6,9,Indonesian,Arizal,
"Si Boneka Kayu, Pinokio",1979,Comedy,5.8,6,Indonesian,Willy Wilianto,93 min
Tuyul,1979,Horror,5.4,9,Indonesian,Bay Isbahi,
Godaan Siluman Perempuan,1978,Horror,6.4,7,Indonesian,Ackyl Anwari,
Kera Sakti,1978,Action,5.9,16,Indonesian,Kuan Tai Chen,
Mat Peci,1978,Comedy,8.5,6,Indonesian,Willy Wilianto,88 min
Two in Black Belt,1978,Action,5.8,26,Mandarin,Sum Cheung,83 min
Badai Pasti Berlalu,1977,Drama,7.7,39,Indonesian,Teguh Karya,
Krakatau,1977,Action,4.7,7,Indonesian,Sandy Suwardi Hasan,
Pembalasan Si Pitung,1977,,7.2,6,Indonesian,Nawi Ismail,95 min
Suci Sang Primadona,1977,Drama,8.4,5,Indonesian,Arifin C. Noer,
Inem Pelayan Sexy,1976,Comedy,6.7,6,Indonesian,Nya Abbas Akup,98 min
Si Doel Anak Modern,1976,Comedy,6.4,18,Indonesian,Sjuman Djaya,
Si Pitung Beraksi Kembali,1976,Action,7.1,15,Indonesian,Nawi Ismail,100 min
Si Pitung,1975,Action,6.8,11,Indonesian,Nawi Ismail,95 min
Ateng Minta Kawin,1974,Comedy,6.8,9,Indonesian,Nya Abbas Akup,111 min
Atheis,1974,Drama,6.5,12,Indonesian,Sjuman Djaya,145 min
Tarsan Kota,1974,Adventure,7.2,16,Indonesian,Liliek Sudjio,
Akhir Sebuah Impian,1973,Drama,5.8,5,Indonesian,Turino Junaidy,110 min
Cinta Pertama,1973,Romance,7.4,9,Indonesian,Teguh Karya,110 min
Si Mamad,1973,Comedy,7,20,Indonesian,Sjuman Djaya,111 min
Si Manis Jembatan Ancol,1973,Horror,5.2,8,Indonesian,Turino Junaidy,95 min
The Ghostly Face,1973,Action,5.6,43,Indonesian,Sai King Yang,
Beranak dalam Kubur,1972,Horror,5.9,28,Indonesian,Awaludin,
Intan Berduri,1972,Drama,8.4,10,Indonesian,Turino Junaidy,104 min
Intan Perawan Kubu,1972,Adventure,7.4,7,Indonesian,,
Si Doel Anak Betawi,1972,Drama,7.7,20,Indonesian,Sjuman Djaya,
Wajah Seorang Laki-Laki,1972,Drama,6.2,6,Indonesian,Teguh Karya,110 min
Malin Kundang,1971,,7.1,7,Indonesian,D. Djajakusuma,
Bernapas dalam Lumpur,1970,Drama,7.6,9,Indonesian,Turino Junaidy,117 min
Badai Selatan,1962,Drama,6.3,6,Indonesian,Sofia W.D.,92 min
Operation Kalimantan,1962,Action,5.8,8,Indonesian,Vladimír Sís,
Pedjuang,1961,War,6.2,6,Indonesian,Usmar Ismail,152 min
Asrama Dara,1958,Drama,7.8,24,Indonesian,Usmar Ismail,119 min
Tiga Dara,1956,Comedy,7.4,154,Indonesian,Usmar Ismail,115 min
Tamu Agung,1955,Comedy,5,7,Indonesian,Usmar Ismail,107 min
Lewat Djam Malam,1954,Drama,7.5,94,Indonesian,Usmar Ismail,101 min
The Tiger from Tjampa,1953,Drama,6.4,30,Indonesian,D. Djajakusuma,97 min
Enam Djam di Djogja,1951,Drama,6.3,9,Indonesian,Usmar Ismail,116 min
Darah dan Doa,1950,Drama,6.6,27,Indonesian,Usmar Ismail,150 min
Resia Boroboedoer,1928,Adventure,7,8,Indonesian,,
Loetoeng Kasaroeng,1926,Fantasy,7.2,11,Indonesian,L. Heuveldorp,60 min
